time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449650000	7.12575	2.61904	3.16721	1.03578	0.851787	radar	2.76677e-321	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	7.15494	2.73838	3.24852	1.10746	0.910788	radar	2.76677e-321	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	7.10771	2.78853	3.20299	1.15913	0.956022	radar	2.76677e-321	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	7.00135	2.6713	3.05176	1.11227	0.917682	radar	2.76677e-321	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	7.06276	2.73424	3.16639	1.13198	0.930789	radar	2.76677e-321	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	7.04366	2.91354	3.20057	1.26298	1.04186	radar	2.76677e-321	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	6.96754	2.82591	3.08383	1.22789	1.01381	radar	2.76677e-321	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	6.95778	2.91457	3.08991	1.29424	1.07109	radar	2.76677e-321	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	6.93593	2.90649	3.05034	1.29763	1.07554	radar	2.76677e-321	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	6.88001	2.88041	2.94816	1.30245	1.08358	radar	2.76677e-321	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
